gesture_1,gesture_2,gesture_3,next_action
thumb_left,middle_finger,one_right,rotate_right
one_left,hand_right,three3,rotate_right*3
half_down,one_right,thumb_down,unknown
hand_left,dislike,thumb_right,rotate_right
thumb_right,two_down,one_right,unknown
one_left,hand_right,three3,rotate_right*3
middle_finger,peace,fist,STOP
middle_finger,peace,fist,STOP
three_gun,four,three3,unknown
two_down,middle_finger,half_up,unknown
grabbing,thumb_index,half_left,unknown
hand_right,grip,part_hand_heart2,unknown
stop,three3,like,STOP
hand_left,three2,three2,rotate_left*3
stop,three3,like,STOP
three_gun,grip,like,unknown
thumb_left,thumb_left,one_right,rotate_right
palm,four,little_finger,STOP
hand_left,like,hand_left,rotate_left
ok,stop,two_up_inverted,unknown
hand_right,mute,hand_right,unknown
fist,thumb_right,little_finger,STOP
little_finger,palm,four,STOP
hand_left,three2,three2,rotate_left*3
little_finger,palm,four,STOP
thumb_left,middle_finger,one_right,rotate_right
part_hand_heart,thumb_index,thumb_down,unknown
peace_inverted,fist,one,unknown
grabbing,one_down,one_right,unknown
point,thumb_right,one_right,rotate_right
fist,two_left,thumb_left,unknown
thumb_index,thumb_down,three3,backward*3
dislike,half_up,call,unknown
one_down,point,peace,unknown
three2,hand_right,thumb_right,rotate_right
thumb_down,two_left,one,unknown
part_hand_heart,one_right,thumb_down,unknown
ok,half_up,ok,unknown
hand_right,half_right,palm,unknown
half_right,three3,two_up_inverted,unknown
thumb_right,three3,like,forward
grabbing,four,four,unknown
part_hand_heart2,peace_inverted,middle_finger,unknown
peace_inverted,two_right,four,unknown
little_finger,peace,thumb_right,rotate_right
stop_inverted,thumb_right,part_hand_heart,unknown
thumb_left,middle_finger,one_right,rotate_right
like,two_left,hand_right,unknown
stop,three3,like,STOP
palm,one_right,four,STOP
point,three,thumb_index,forward
hand_left,like,hand_left,rotate_left
three3,stop,part_hand_heart2,unknown
peace,hand_left,little_finger,rotate_left*1
three2,hand_right,thumb_right,rotate_right
hand_left,thumb_index,two_up,unknown
two_right,two_left,stop_inverted,unknown
palm,three,half_left,unknown
hand_left,half_down,two_up_inverted,unknown
peace,hand_left,little_finger,rotate_left*1
stop,two_left,thumb_index,unknown
half_right,call,stop_inverted,unknown
hand_left,dislike,thumb_right,rotate_right
hand_left,three2,three2,rotate_left*3
point,thumb_right,one_right,rotate_right
call,two_up,thumb_down,unknown
thumb_down,thumb_left,stop,STOP
stop,little_finger,one_left,STOP
palm,one_right,four,STOP
two_right,hand_down,grip,unknown
dislike,one_left,little_finger,rotate_left*1
thumb_index,middle_finger,thumb_down,backward
thumb_index,middle_finger,thumb_down,backward
half_down,hand_left,one_left,unknown
three3,fist,dislike,STOP
stop,three3,like,STOP
thumb_left,middle_finger,one_right,rotate_right
hand_down,peace,point,unknown
two_up,little_finger,thumb_left,unknown
fist,thumb_right,little_finger,STOP
peace,hand_left,little_finger,rotate_left*1
hand_left,three2,three2,rotate_left*3
half_down,mute,part_hand_heart2,unknown
thumb_down,thumb_left,stop,STOP
grabbing,three,half_down,unknown
one_down,half_down,grip,unknown
middle_finger,peace,fist,STOP
thumb_index,middle_finger,thumb_down,backward
half_up,three,fist,unknown
hand_left,dislike,thumb_right,rotate_right
mute,little_finger,one,unknown
hand_right,palm,one_right,STOP
fist_inverted,thumb_down,half_right,unknown
little_finger,palm,four,STOP
three2,little_finger,fist_inverted,unknown
three3,fist,dislike,STOP
thumb_down,thumb_left,stop,STOP
thumb_index,half_right,hand_left,unknown
call,two_down,grip,unknown
thumb_left,thumb_left,one_right,rotate_right
one_down,two_down,thumb_right,unknown
palm,one_right,four,STOP
three2,hand_right,thumb_right,rotate_right
point,three,thumb_index,forward
two_down,three,palm,unknown
one_left,hand_right,three3,rotate_right*3
middle_finger,peace,fist,STOP
part_hand_heart,hand_right,two_left,unknown
one_left,hand_right,three3,rotate_right*3
three2,hand_right,thumb_right,rotate_right
fist,half_up,stop,unknown
dislike,palm,three_gun,unknown
thumb_index,middle_finger,thumb_down,backward
point,three,thumb_index,forward
half_left,half_right,point,unknown
thumb_right,three3,like,forward
middle_finger,peace,fist,STOP
stop,little_finger,one_left,STOP
thumb_left,mute,call,unknown
three,dislike,fist,STOP
call,one,part_hand_heart2,unknown
peace,ok,dislike,unknown
middle_finger,call,half_right,unknown
peace,hand_left,little_finger,rotate_left*1
hand_left,like,hand_left,rotate_left
hand_left,like,hand_left,rotate_left
hand_left,dislike,thumb_right,rotate_right
palm,four,little_finger,STOP
part_hand_heart2,one_right,hand_right,unknown
point,three_gun,rock,unknown
one,two_down,thumb_index,unknown
thumb_index,part_hand_heart,hand_right,unknown
one_left,thumb_index,grip,unknown
two_up,thumb_left,two_right,unknown
thumb_right,three3,like,forward
middle_finger,fist,half_up,unknown
palm,ok,two_down,unknown
one_right,half_left,half_left,unknown
one_left,like,two_up_inverted,unknown
point,thumb_right,one_right,rotate_right
hand_right,palm,one_right,STOP
hand_left,three2,three2,rotate_left*3
half_right,stop_inverted,half_left,unknown
mute,like,two_down,unknown
one_left,hand_right,three3,rotate_right*3
palm,one_right,four,STOP
stop,point,half_right,unknown
thumb_left,thumb_left,one_right,rotate_right
stop,little_finger,one_left,STOP
call,middle_finger,stop_inverted,unknown
ok,one_right,four,unknown
two_up,three_gun,grip,unknown
fist,thumb_right,little_finger,STOP
like,hand_down,palm,unknown
hand_down,one_left,thumb_index,unknown
two_down,mute,three3,unknown
little_finger,peace,thumb_right,rotate_right
mute,two_up_inverted,ok,unknown
hand_right,palm,one_right,STOP
thumb_down,thumb_left,stop,STOP
dislike,one_left,little_finger,rotate_left*1
ok,hand_down,three2,unknown
point,thumb_right,one_right,rotate_right
two_left,three_gun,palm,unknown
dislike,one_left,little_finger,rotate_left*1
point,three,thumb_index,forward
part_hand_heart,one_down,stop,unknown
two_left,part_hand_heart2,half_left,unknown
thumb_left,middle_finger,one_right,rotate_right
hand_right,palm,one_right,STOP
thumb_index,thumb_down,three3,backward*3
little_finger,peace,thumb_right,rotate_right
three,dislike,fist,STOP
little_finger,palm,four,STOP
thumb_index,thumb_down,three3,backward*3
thumb_index,thumb_down,three3,backward*3
thumb_left,middle_finger,one_right,rotate_right
