gesture_1,gesture_2,gesture_3,next_action
palm,palm,palm,STOP
palm,palm,fist,STOP
palm,palm,stop,STOP
palm,palm,little_finger,STOP
palm,palm,peace,STOP
palm,palm,three,STOP
palm,palm,three2,STOP
palm,palm,three3,STOP
palm,palm,four,STOP
palm,palm,point,STOP
palm,palm,one_left,STOP
palm,palm,hand_left,STOP
palm,palm,one_right,STOP
palm,palm,hand_right,STOP
palm,palm,thumb_index,STOP
palm,palm,thumb_left,STOP
palm,palm,thumb_right,STOP
palm,palm,thumb_down,STOP
palm,palm,middle_finger,STOP
palm,palm,dislike,STOP
palm,palm,like,STOP
palm,palm,rock,STOP
palm,fist,palm,STOP
palm,fist,fist,STOP
palm,fist,stop,STOP
palm,fist,little_finger,STOP
palm,fist,peace,STOP
palm,fist,three,STOP
palm,fist,three2,STOP
palm,fist,three3,STOP
palm,fist,four,STOP
palm,fist,point,STOP
palm,fist,one_left,STOP
palm,fist,hand_left,STOP
palm,fist,one_right,STOP
palm,fist,hand_right,STOP
palm,fist,thumb_index,STOP
palm,fist,thumb_left,STOP
palm,fist,thumb_right,STOP
palm,fist,thumb_down,STOP
palm,fist,middle_finger,STOP
palm,fist,dislike,STOP
palm,fist,like,STOP
palm,fist,rock,STOP
palm,stop,palm,STOP
palm,stop,fist,STOP
palm,stop,stop,STOP
palm,stop,little_finger,STOP
palm,stop,peace,STOP
palm,stop,three,STOP
palm,stop,three2,STOP
palm,stop,three3,STOP
palm,stop,four,STOP
palm,stop,point,STOP
palm,stop,one_left,STOP
palm,stop,hand_left,STOP
palm,stop,one_right,STOP
palm,stop,hand_right,STOP
palm,stop,thumb_index,STOP
palm,stop,thumb_left,STOP
palm,stop,thumb_right,STOP
palm,stop,thumb_down,STOP
palm,stop,middle_finger,STOP
palm,stop,dislike,STOP
palm,stop,like,STOP
palm,stop,rock,STOP
palm,little_finger,palm,STOP
palm,little_finger,fist,STOP
palm,little_finger,stop,STOP
palm,little_finger,little_finger,STOP
palm,little_finger,peace,STOP
palm,little_finger,three,STOP
palm,little_finger,three2,STOP
palm,little_finger,three3,STOP
palm,little_finger,four,STOP
palm,little_finger,point,STOP
palm,little_finger,one_left,STOP
palm,little_finger,hand_left,STOP
palm,little_finger,one_right,STOP
palm,little_finger,hand_right,STOP
palm,little_finger,thumb_index,STOP
palm,little_finger,thumb_left,STOP
palm,little_finger,thumb_right,STOP
palm,little_finger,thumb_down,STOP
palm,little_finger,middle_finger,STOP
palm,little_finger,dislike,STOP
palm,little_finger,like,STOP
palm,little_finger,rock,STOP
palm,peace,palm,STOP
palm,peace,fist,STOP
palm,peace,stop,STOP
palm,peace,little_finger,STOP
palm,peace,peace,STOP
palm,peace,three,STOP
palm,peace,three2,STOP
palm,peace,three3,STOP
palm,peace,four,STOP
palm,peace,point,STOP
palm,peace,one_left,STOP
palm,peace,hand_left,STOP
palm,peace,one_right,STOP
palm,peace,hand_right,STOP
palm,peace,thumb_index,STOP
palm,peace,thumb_left,STOP
palm,peace,thumb_right,STOP
palm,peace,thumb_down,STOP
palm,peace,middle_finger,STOP
palm,peace,dislike,STOP
palm,peace,like,STOP
palm,peace,rock,STOP
palm,three,palm,STOP
palm,three,fist,STOP
palm,three,stop,STOP
palm,three,little_finger,STOP
palm,three,peace,STOP
palm,three,three,STOP
palm,three,three2,STOP
palm,three,three3,STOP
palm,three,four,STOP
palm,three,point,STOP
palm,three,one_left,STOP
palm,three,hand_left,STOP
palm,three,one_right,STOP
palm,three,hand_right,STOP
palm,three,thumb_index,STOP
palm,three,thumb_left,STOP
palm,three,thumb_right,STOP
palm,three,thumb_down,STOP
palm,three,middle_finger,STOP
palm,three,dislike,STOP
palm,three,like,STOP
palm,three,rock,STOP
palm,three2,palm,STOP
palm,three2,fist,STOP
palm,three2,stop,STOP
palm,three2,little_finger,STOP
palm,three2,peace,STOP
palm,three2,three,STOP
palm,three2,three2,STOP
palm,three2,three3,STOP
palm,three2,four,STOP
palm,three2,point,STOP
palm,three2,one_left,STOP
palm,three2,hand_left,STOP
palm,three2,one_right,STOP
palm,three2,hand_right,STOP
palm,three2,thumb_index,STOP
palm,three2,thumb_left,STOP
palm,three2,thumb_right,STOP
palm,three2,thumb_down,STOP
palm,three2,middle_finger,STOP
palm,three2,dislike,STOP
palm,three2,like,STOP
palm,three2,rock,STOP
palm,three3,palm,STOP
palm,three3,fist,STOP
palm,three3,stop,STOP
palm,three3,little_finger,STOP
palm,three3,peace,STOP
palm,three3,three,STOP
palm,three3,three2,STOP
palm,three3,three3,STOP
palm,three3,four,STOP
palm,three3,point,STOP
palm,three3,one_left,STOP
palm,three3,hand_left,STOP
palm,three3,one_right,STOP
palm,three3,hand_right,STOP
palm,three3,thumb_index,STOP
palm,three3,thumb_left,STOP
palm,three3,thumb_right,STOP
palm,three3,thumb_down,STOP
palm,three3,middle_finger,STOP
palm,three3,dislike,STOP
palm,three3,like,STOP
palm,three3,rock,STOP
palm,four,palm,STOP
palm,four,fist,STOP
palm,four,stop,STOP
palm,four,little_finger,STOP
palm,four,peace,STOP
palm,four,three,STOP
palm,four,three2,STOP
palm,four,three3,STOP
palm,four,four,STOP
palm,four,point,STOP
palm,four,one_left,STOP
palm,four,hand_left,STOP
palm,four,one_right,STOP
palm,four,hand_right,STOP
palm,four,thumb_index,STOP
palm,four,thumb_left,STOP
palm,four,thumb_right,STOP
palm,four,thumb_down,STOP
palm,four,middle_finger,STOP
palm,four,dislike,STOP
palm,four,like,STOP
palm,four,rock,STOP
palm,point,palm,STOP
palm,point,fist,STOP
palm,point,stop,STOP
palm,point,little_finger,STOP
palm,point,peace,STOP
palm,point,three,STOP
palm,point,three2,STOP
palm,point,three3,STOP
palm,point,four,STOP
palm,point,point,STOP
palm,point,one_left,STOP
palm,point,hand_left,STOP
palm,point,one_right,STOP
palm,point,hand_right,STOP
palm,point,thumb_index,STOP
palm,point,thumb_left,STOP
palm,point,thumb_right,STOP
palm,point,thumb_down,STOP
palm,point,middle_finger,STOP
palm,point,dislike,STOP
palm,point,like,STOP
palm,point,rock,STOP
palm,one_left,palm,STOP
palm,one_left,fist,STOP
palm,one_left,stop,STOP
palm,one_left,little_finger,STOP
palm,one_left,peace,STOP
palm,one_left,three,STOP
palm,one_left,three2,STOP
palm,one_left,three3,STOP
palm,one_left,four,STOP
palm,one_left,point,STOP
palm,one_left,one_left,STOP
palm,one_left,hand_left,STOP
palm,one_left,one_right,STOP
palm,one_left,hand_right,STOP
palm,one_left,thumb_index,STOP
palm,one_left,thumb_left,STOP
palm,one_left,thumb_right,STOP
palm,one_left,thumb_down,STOP
palm,one_left,middle_finger,STOP
palm,one_left,dislike,STOP
palm,one_left,like,STOP
palm,one_left,rock,STOP
palm,hand_left,palm,STOP
palm,hand_left,fist,STOP
palm,hand_left,stop,STOP
palm,hand_left,little_finger,STOP
palm,hand_left,peace,STOP
palm,hand_left,three,STOP
palm,hand_left,three2,STOP
palm,hand_left,three3,STOP
palm,hand_left,four,STOP
palm,hand_left,point,STOP
palm,hand_left,one_left,STOP
palm,hand_left,hand_left,STOP
palm,hand_left,one_right,STOP
palm,hand_left,hand_right,STOP
palm,hand_left,thumb_index,STOP
palm,hand_left,thumb_left,STOP
palm,hand_left,thumb_right,STOP
palm,hand_left,thumb_down,STOP
palm,hand_left,middle_finger,STOP
palm,hand_left,dislike,STOP
palm,hand_left,like,STOP
palm,hand_left,rock,STOP
palm,one_right,palm,STOP
palm,one_right,fist,STOP
palm,one_right,stop,STOP
palm,one_right,little_finger,STOP
palm,one_right,peace,STOP
palm,one_right,three,STOP
palm,one_right,three2,STOP
palm,one_right,three3,STOP
palm,one_right,four,STOP
palm,one_right,point,STOP
palm,one_right,one_left,STOP
palm,one_right,hand_left,STOP
palm,one_right,one_right,STOP
palm,one_right,hand_right,STOP
palm,one_right,thumb_index,STOP
palm,one_right,thumb_left,STOP
palm,one_right,thumb_right,STOP
palm,one_right,thumb_down,STOP
palm,one_right,middle_finger,STOP
palm,one_right,dislike,STOP
palm,one_right,like,STOP
