gesture_1,gesture_2,gesture_3,next_action
point,fist,thumbs_down,STOP
peace,middle_finger,mute,forward
pointleft,one,thumbs_down,forward
three,peace,rock,forward
one,rock,middle_finger,forward
palm,thumb_index,peace_inverted,down
peace_inverted,peace,pointright,forward
three,palm,peace_inverted,rotate_left
fist,three3,peace_inverted,rotate_left
littlefinger,three,thumb_index,forward
pointright,mute,three3,down
fist,three3,thumbs_up,STOP
one,three3,point,rotate_right
thumb_index,thumb_index,middle_finger,forward
thumbs_up,fist,four,rotate_right
pointleft,palm,rock,STOP
palm,four,pointright,rotate_right
three,point,mute,forward
pointleft,four,thumbs_down,forward
middle_finger,pointleft,peace_inverted,2
thumbs_down,rock,peace_inverted,forward
peace_inverted,palm,peace_inverted,rotate_left
three,point,thumbs_down,STOP
None,point,three,
three,None,three3,
palm,three3,three3,forward
peace,None,thumbs_up,
thumbs_down,pointleft,littlefinger,rotate_right
palm,thumbs_down,three3,forward
peace_inverted,point,peace,rotate_right
None,rock,fist,
palm,rock,None,
pointleft,peace_inverted,peace,down
rock,littlefinger,pointright,rotate_left
peace_inverted,four,peace_inverted,forward
thumbs_down,None,fist,
littlefinger,None,four,
thumbs_down,thumbs_up,rock,1
None,thumbs_down,mute,
pointright,pointright,pointright,forward
three,three3,middle_finger,forward
peace,three3,pointright,1
peace_inverted,middle_finger,thumb_index,forward
thumb_index,peace_inverted,four,forward
littlefinger,rock,thumb_index,STOP
rock,mute,mute,STOP
thumb_index,thumbs_up,three3,2
one,pointright,peace,forward
one,fist,fist,forward
mute,mute,None,
peace,peace_inverted,three3,down
peace,rock,thumbs_down,down
mute,thumbs_down,pointright,down
thumbs_down,one,three3,1
three,rock,fist,rotate_left
mute,peace_inverted,thumbs_up,down
thumbs_up,littlefinger,one,forward
thumb_index,three3,thumbs_up,forward
three,thumbs_down,peace_inverted,2
thumbs_down,three3,littlefinger,rotate_left
four,four,three3,STOP
point,three,peace_inverted,rotate_left
four,pointleft,pointleft,rotate_left
thumb_index,pointleft,fist,down
pointleft,rock,three,forward
three3,one,four,forward
thumbs_up,littlefinger,rock,forward
thumbs_up,four,pointleft,forward
point,None,palm,
middle_finger,mute,three,rotate_left
None,thumb_index,mute,
thumbs_down,peace_inverted,None,
palm,one,littlefinger,forward
middle_finger,thumbs_down,thumbs_down,rotate_left
middle_finger,littlefinger,thumbs_up,rotate_right
None,peace,thumb_index,
rock,one,fist,2
thumb_index,palm,mute,rotate_right
thumbs_up,peace_inverted,fist,rotate_right
three3,None,peace_inverted,
fist,pointleft,thumbs_up,rotate_left
littlefinger,three,thumb_index,forward
four,thumbs_up,None,
thumbs_down,one,pointleft,rotate_right
mute,middle_finger,three,rotate_right
palm,pointleft,pointleft,rotate_left
three,fist,littlefinger,STOP
peace_inverted,peace_inverted,thumbs_up,rotate_right
three3,peace_inverted,littlefinger,down
point,mute,thumbs_down,forward
None,thumb_index,None,
littlefinger,thumbs_up,thumbs_down,forward
mute,three,four,2
thumbs_up,thumbs_down,rock,forward
mute,thumb_index,one,forward
rock,mute,thumbs_up,forward
middle_finger,three3,thumb_index,1
None,rock,littlefinger,
peace_inverted,peace_inverted,point,forward
three3,one,None,
peace_inverted,fist,three,down
peace,peace,middle_finger,rotate_right
middle_finger,None,peace,
four,three,thumbs_down,forward
fist,thumbs_down,thumb_index,down
three,middle_finger,mute,down
four,thumb_index,thumbs_down,2
three3,thumb_index,pointleft,1
three,peace_inverted,mute,rotate_right
rock,one,peace,rotate_left
three3,palm,middle_finger,down
None,peace_inverted,point,
pointright,thumbs_up,fist,rotate_left
thumb_index,middle_finger,peace,rotate_right
littlefinger,middle_finger,point,down
thumb_index,rock,one,forward
pointleft,three,peace_inverted,down
four,fist,three,rotate_left
peace_inverted,palm,fist,down
point,one,four,rotate_left
pointright,three3,middle_finger,rotate_right
thumb_index,pointleft,middle_finger,STOP
three,palm,middle_finger,rotate_right
mute,None,thumb_index,
mute,pointright,palm,forward
pointright,four,three3,forward
peace_inverted,None,pointleft,
littlefinger,thumbs_down,None,
fist,thumbs_up,point,rotate_right
rock,thumb_index,one,down
rock,peace,peace_inverted,STOP
thumbs_down,littlefinger,thumbs_down,forward
one,palm,peace,forward
pointright,mute,rock,forward
rock,peace,three,down
None,pointleft,thumbs_down,
peace,pointright,thumbs_down,down
point,three,one,forward
thumb_index,three3,None,
thumb_index,palm,None,
peace_inverted,palm,littlefinger,forward
fist,peace_inverted,point,forward
thumbs_up,three,rock,forward
four,thumbs_down,point,rotate_right
mute,pointleft,one,rotate_right
thumbs_up,one,mute,rotate_right
point,middle_finger,one,forward
palm,four,point,forward
palm,peace,middle_finger,2
thumb_index,thumbs_down,mute,down
three3,rock,mute,forward
littlefinger,mute,middle_finger,forward
None,one,one,
mute,palm,one,rotate_left
thumb_index,thumbs_down,thumbs_down,rotate_left
littlefinger,rock,peace,down
one,None,point,
thumb_index,three,three,rotate_right
pointright,peace_inverted,palm,rotate_right
pointright,thumbs_down,one,forward
